election_cycle,race_type,name_incumbent,name_challenger,name_third,us_state_fips,tipping,vpi,win_state_incumbent,win_state_challenger,win_state_third,win_ec_if_win_state_incumbent,win_ec_if_win_state_challenger,win_state_if_win_ec_incumbent,win_state_if_win_ec_challenger,voteshare_incumbent,voteshare_challenger,voteshare_third,voteshare_other,voteshare_lo_incumbent,voteshare_lo_challenger,voteshare_lo_third,voteshare_lo_other,voteshare_hi_incumbent,voteshare_hi_challenger,voteshare_hi_third,voteshare_hi_other,margin,margin_lo,margin_hi,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,09,0.000975,0.0871597,0.019325,0.980675,,0.9573092,0.7164198,0.0633453,0.9988271,40.26884,58.77335,,0.9578071,34.8443,53.33267,,0.5164663,45.73281,64.18741,,1.455314,-18.50451,-29.33408,-7.614408,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,13,0.017025,0.5602223,0.688475,0.311525,,0.4193689,0.9887649,0.988615,0.4379087,51.2326,47.91428,,0.8531274,46.78955,43.51088,,0.4613503,55.63592,52.33541,,1.293864,3.318319,-5.531729,12.10266,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,12,0.1708375,2.388494,0.427125,0.572875,,0.6558384,0.9786167,0.959168,0.7970216,48.89808,50.28525,,0.8166685,43.94057,45.30175,,0.4421052,53.88817,55.2543,,1.237721,-1.387163,-11.30331,8.592752,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,11,0.0,0.0,0.0,1.0,,,0.7034,0.0,1.0,5.799291,90.61766,,3.583051,3.1826,87.17409,,1.859583,8.528352,93.78767,,5.568253,-84.81837,-90.3119,-79.01942,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,10,1.25e-05,0.0041739,0.003575,0.996425,,0.951049,0.705748,0.0116418,0.9997512,38.82948,60.01289,,1.157633,34.27905,55.40825,,0.6212156,43.41884,64.56978,,1.764568,-21.1834,-30.28581,-12.0183,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,29,0.0009875,0.0501392,0.900875,0.099125,,0.3236853,0.9954603,0.9984592,0.1402829,54.76372,43.77211,,1.464172,49.25911,38.35841,,0.7807465,60.20631,49.23506,,2.240418,10.99162,0.04529,21.83556,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,08,0.022925,1.11265,0.145125,0.854875,,0.8659776,0.8006141,0.4303201,0.9730239,44.53048,53.54825,,1.921266,39.00999,48.01736,,1.016592,50.02149,59.03255,,2.9533,-9.017767,-19.9662,1.948006,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,06,0.0013875,0.0138309,0.003025,0.996975,,0.6859504,0.7045814,0.0071049,0.9986494,33.9756,64.03566,,1.988742,28.30747,58.30515,,1.05121,39.70777,69.70235,,3.058872,-30.06006,-41.30679,-18.66183,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,05,0.0006,0.0739189,0.93905,0.06095,,0.3099409,0.9831829,0.996576,0.0851933,56.76191,41.5968,,1.64129,50.57444,35.41025,,0.872426,62.93266,47.74905,,2.516054,15.16512,2.861065,27.50327,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,04,0.0593875,3.001007,0.40335,0.59665,,0.6227842,0.9267159,0.8601267,0.7860748,48.28348,50.33883,,1.377697,42.67379,44.74355,,0.7358737,53.87003,55.9417,,2.105979,-2.05535,-13.2589,9.079807,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,02,0.0022125,0.9831989,0.813325,0.186675,,0.3506593,0.9625016,0.9765451,0.2554379,53.50222,44.21942,,2.27836,46.60699,37.46859,,1.199522,60.3016,51.05252,,3.512256,9.282796,-4.410391,22.72553,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,01,0.00025,0.0164366,0.9793,0.0207,,0.2973808,0.9601449,0.9971752,0.0282556,60.04445,39.16063,,0.7949243,54.08207,33.27048,,0.4306153,65.95912,45.11282,,1.204228,20.88382,8.973518,32.69787,1,2020-09-05,22:17:02  5 Sep 2020,40000
