election_cycle,race_type,name_incumbent,name_challenger,name_third,scenario_id,scenario_probability,scenario_description,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,10,0.007175,Trump landslide (double-digit popular vote margin),1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,11,0.30355,Biden landslide (double-digit popular vote margin),1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,12,0.00035,Map exactly the same as in 2016,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,13,0.39805,Trump wins at least one state Clinton won in 2016,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,14,0.90085,Biden wins at least one state Trump won in 2016,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,1,0.004925,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,2,0.04895,Recount (1+ decisive states within 0.5 ppt),1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,3,0.13445,Trump wins popular vote,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,4,0.86555,Biden wins popular vote,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0007625,Trump wins popular vote but loses Electoral College,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,6,0.109275,Biden wins popular vote but loses Electoral College,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,8,0.0966,Trump majority (at least 50 percent of the vote),1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,9,0.814525,Biden majority (at least 50 percent of the vote),1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,10,0.005425,Trump landslide (double-digit popular vote margin),1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,11,0.307225,Biden landslide (double-digit popular vote margin),1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,12,0.0006,Map exactly the same as in 2016,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,13,0.3795,Trump wins at least one state Clinton won in 2016,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,14,0.906625,Biden wins at least one state Trump won in 2016,1,2020-09-11,19:00:03 11 Sep 2020,40000
